tanggal,jenis,nama,kategori,nominal
2025-01-01,pemasukan,Penjualan Mie Ayam,penjualan,20000
2025-01-01,pemasukan,Penjualan Pecel Lele,penjualan,65000
2025-01-01,pemasukan,Penjualan Kopi Hitam,penjualan,28000
2025-01-01,pemasukan,Penjualan Ayam Bakar,penjualan,30000
2025-01-01,pemasukan,Penjualan Nasi Uduk,penjualan,50000
2025-01-01,pemasukan,Penjualan Pecel Lele,penjualan,91000
2025-01-01,pemasukan,Penjualan Jus Alpukat,penjualan,130000
2025-01-01,pemasukan,Penjualan Pecel Lele,penjualan,26000
2025-01-01,pemasukan,Penjualan Mie Ayam,penjualan,10000
2025-01-01,pemasukan,Penjualan Pecel Lele,penjualan,39000
2025-01-01,pemasukan,Penjualan Soto Ayam,penjualan,12000
2025-01-01,pemasukan,Penjualan Es Teh,penjualan,20000
2025-01-01,pemasukan,Penjualan Nasi Uduk,penjualan,30000
2025-01-01,pemasukan,Penjualan Mie Ayam,penjualan,80000
2025-01-01,pemasukan,Penjualan Ayam Bakar,penjualan,120000
2025-01-01,pemasukan,Penjualan Ayam Bakar,penjualan,15000
2025-01-01,pemasukan,Penjualan Kopi Hitam,penjualan,42000
2025-01-01,pemasukan,Penjualan Jus Alpukat,penjualan,104000
2025-01-01,pemasukan,Penjualan Jus Alpukat,penjualan,91000
2025-01-01,pemasukan,Penjualan Bakso,penjualan,55000
2025-01-01,pemasukan,Penjualan Jus Alpukat,penjualan,39000
2025-01-01,pemasukan,Penjualan Ayam Bakar,penjualan,120000
2025-01-01,pemasukan,Penjualan Bakso,penjualan,99000
2025-01-01,pemasukan,Penjualan Mie Ayam,penjualan,100000
2025-01-01,pemasukan,Penjualan Kopi Hitam,penjualan,7000
2025-01-01,pemasukan,Penjualan Kopi Hitam,penjualan,35000
2025-01-01,pemasukan,Penjualan Jus Alpukat,penjualan,52000
2025-01-01,pengeluaran,Beli Bahan Baku,bahan baku,394723
2025-01-01,pengeluaran,Transportasi,logistik,31459
2025-01-01,pengeluaran,Biaya Listrik,operasional,3205765
2025-01-01,pengeluaran,Biaya Air,operasional,398463
2025-01-01,pengeluaran,Biaya Sewa Tempat,sewa,5000000
2025-01-02,pemasukan,Penjualan Nasi Uduk,penjualan,60000
