tanggal,jenis,nama,kategori,nominal
2024-01-01,pemasukan,Penjualan Jus Alpukat,penjualan,52000
2024-01-01,pemasukan,Penjualan Mie Ayam,penjualan,70000
2024-01-01,pemasukan,Penjualan Kopi Hitam,penjualan,21000
2024-01-01,pemasukan,Penjualan Soto Ayam,penjualan,60000
2024-01-01,pemasukan,Penjualan Nasi Goreng,penjualan,108000
2024-01-01,pemasukan,Penjualan Bakso,penjualan,88000
2024-01-01,pemasukan,Penjualan Bakso,penjualan,77000
2024-01-01,pemasukan,Penjualan Kopi Hitam,penjualan,56000
2024-01-01,pemasukan,Penjualan Pecel Lele,penjualan,39000
2024-01-01,pemasukan,Penjualan Pecel Lele,penjualan,117000
2024-01-01,pemasukan,Penjualan Bakso,penjualan,22000
2024-01-01,pemasukan,Penjualan Pecel Lele,penjualan,26000
2024-01-01,pemasukan,Penjualan Bakso,penjualan,22000
2024-01-01,pemasukan,Penjualan Mie Ayam,penjualan,30000
2024-01-01,pemasukan,Penjualan Bakso,penjualan,44000
2024-01-01,pemasukan,Penjualan Mie Ayam,penjualan,90000
2024-01-01,pemasukan,Penjualan Soto Ayam,penjualan,96000
2024-01-01,pemasukan,Penjualan Bakso,penjualan,88000
2024-01-01,pemasukan,Penjualan Nasi Goreng,penjualan,36000
2024-01-01,pemasukan,Penjualan Ayam Bakar,penjualan,15000
2024-01-01,pemasukan,Penjualan Pecel Lele,penjualan,65000
2024-01-01,pemasukan,Penjualan Nasi Uduk,penjualan,90000
2024-01-01,pemasukan,Penjualan Ayam Bakar,penjualan,15000
2024-01-01,pemasukan,Penjualan Mie Ayam,penjualan,30000
2024-01-01,pemasukan,Penjualan Es Teh,penjualan,20000
2024-01-01,pemasukan,Penjualan Soto Ayam,penjualan,120000
2024-01-01,pemasukan,Penjualan Soto Ayam,penjualan,36000
2024-01-01,pemasukan,Penjualan Pecel Lele,penjualan,104000
2024-01-01,pemasukan,Penjualan Ayam Bakar,penjualan,75000
2024-01-01,pemasukan,Penjualan Pecel Lele,penjualan,26000
2024-01-01,pemasukan,Penjualan Bakso,penjualan,77000
2024-01-01,pemasukan,Penjualan Kopi Hitam,penjualan,70000
2024-01-01,pemasukan,Penjualan Bakso,penjualan,22000
2024-01-01,pengeluaran,Beli Bahan Baku,bahan baku,334718
2024-01-01,pengeluaran,Transportasi,logistik,75713
2024-01-01,pengeluaran,Biaya Listrik,operasional,3631219
2024-01-01,pengeluaran,Biaya Air,operasional,318490
2024-01-01,pengeluaran,Biaya Sewa Tempat,sewa,5000000
2024-01-01,pengeluaran,Gaji Karyawan,gaji,2870860
2024-01-02,pemasukan,Penjualan Pecel Lele,penjualan,65000
2024-01-02,pemasukan,Penjualan Pecel Lele,penjualan,117000
2024-01-02,pemasukan,Penjualan Ayam Bakar,penjualan,135000
2024-01-02,pemasukan,Penjualan Nasi Uduk,penjualan,30000
2024-01-02,pemasukan,Penjualan Jus Alpukat,penjualan,130000
2024-01-02,pemasukan,Penjualan Soto Ayam,penjualan,12000
2024-01-02,pemasukan,Penjualan Pecel Lele,penjualan,130000
2024-01-02,pemasukan,Penjualan Jus Alpukat,penjualan,65000
2024-01-02,pemasukan,Penjualan Soto Ayam,penjualan,48000
2024-01-02,pemasukan,Penjualan Pecel Lele,penjualan,91000
2024-01-02,pemasukan,Penjualan Bakso,penjualan,11000
2024-01-02,pemasukan,Penjualan Jus Alpukat,penjualan,65000
2024-01-02,pemasukan,Penjualan Ayam Bakar,penjualan,75000
2024-01-02,pemasukan,Penjualan Soto Ayam,penjualan,24000
2024-01-02,pemasukan,Penjualan Pecel Lele,penjualan,117000
2024-01-02,pemasukan,Penjualan Kopi Hitam,penjualan,28000
2024-01-02,pemasukan,Penjualan Es Teh,penjualan,30000
2024-01-02,pemasukan,Penjualan Jus Alpukat,penjualan,130000
2024-01-02,pemasukan,Penjualan Mie Ayam,penjualan,60000
2024-01-02,pemasukan,Penjualan Jus Alpukat,penjualan,39000
2024-01-02,pemasukan,Penjualan Bakso,penjualan,22000
2024-01-02,pemasukan,Penjualan Pecel Lele,penjualan,117000
2024-01-02,pemasukan,Penjualan Pecel Lele,penjualan,104000
2024-01-02,pemasukan,Penjualan Pecel Lele,penjualan,52000
2024-01-02,pemasukan,Penjualan Es Teh,penjualan,50000
2024-01-02,pemasukan,Penjualan Pecel Lele,penjualan,117000
2024-01-02,pemasukan,Penjualan Es Teh,penjualan,5000
2024-01-02,pemasukan,Penjualan Nasi Uduk,penjualan,100000
2024-01-02,pemasukan,Penjualan Kopi Hitam,penjualan,14000
2024-01-02,pemasukan,Penjualan Jus Alpukat,penjualan,52000
2024-01-02,pemasukan,Penjualan Bakso,penjualan,66000
2024-01-02,pemasukan,Penjualan Kopi Hitam,penjualan,7000
2024-01-02,pemasukan,Penjualan Nasi Uduk,penjualan,50000
2024-01-02,pemasukan,Penjualan Nasi Goreng,penjualan,12000
2024-01-02,pemasukan,Penjualan Kopi Hitam,penjualan,49000
2024-01-02,pemasukan,Penjualan Pecel Lele,penjualan,26000
2024-01-02,pemasukan,Penjualan Jus Alpukat,penjualan,91000
2024-01-02,pemasukan,Penjualan Soto Ayam,penjualan,48000
2024-01-02,pemasukan,Penjualan Es Teh,penjualan,30000
2024-01-02,pemasukan,Penjualan Es Teh,penjualan,50000
2024-01-02,pemasukan,Penjualan Jus Alpukat,penjualan,78000
2024-01-02,pemasukan,Penjualan Mie Ayam,penjualan,20000
2024-01-02,pemasukan,Penjualan Bakso,penjualan,77000
2024-01-02,pemasukan,Penjualan Jus Alpukat,penjualan,65000
2024-01-02,pemasukan,Penjualan Nasi Uduk,penjualan,60000
2024-01-02,pemasukan,Penjualan Soto Ayam,penjualan,120000
2024-01-02,pemasukan,Penjualan Nasi Uduk,penjualan,30000
2024-01-02,pemasukan,Penjualan Soto Ayam,penjualan,12000
2024-01-02,pemasukan,Penjualan Nasi Uduk,penjualan,50000
2024-01-02,pemasukan,Penjualan Nasi Uduk,penjualan,100000
2024-01-02,pemasukan,Penjualan Jus Alpukat,penjualan,26000
2024-01-02,pemasukan,Penjualan Nasi Uduk,penjualan,40000
2024-01-02,pemasukan,Penjualan Bakso,penjualan,33000
2024-01-02,pemasukan,Penjualan Mie Ayam,penjualan,100000
2024-01-02,pemasukan,Penjualan Kopi Hitam,penjualan,14000
2024-01-02,pemasukan,Penjualan Soto Ayam,penjualan,36000
2024-01-02,pemasukan,Penjualan Soto Ayam,penjualan,60000
2024-01-02,pemasukan,Penjualan Bakso,penjualan,99000
2024-01-02,pemasukan,Penjualan Bakso,penjualan,110000
2024-01-02,pemasukan,Penjualan Es Teh,penjualan,5000
2024-01-02,pemasukan,Penjualan Nasi Uduk,penjualan,80000
2024-01-02,pemasukan,Penjualan Pecel Lele,penjualan,117000
2024-01-02,pemasukan,Penjualan Soto Ayam,penjualan,120000
2024-01-02,pemasukan,Penjualan Kopi Hitam,penjualan,42000
2024-01-02,pemasukan,Penjualan Nasi Goreng,penjualan,60000
2024-01-02,pengeluaran,Beli Bahan Baku,bahan baku,418787
2024-01-02,pengeluaran,Transportasi,logistik,41841
2024-01-03,pemasukan,Penjualan Bakso,penjualan,55000
2024-01-03,pemasukan,Penjualan Es Teh,penjualan,35000
2024-01-03,pemasukan,Penjualan Bakso,penjualan,66000
2024-01-03,pemasukan,Penjualan Nasi Uduk,penjualan,70000
2024-01-03,pemasukan,Penjualan Jus Alpukat,penjualan,52000
2024-01-03,pemasukan,Penjualan Pecel Lele,penjualan,65000
2024-01-03,pemasukan,Penjualan Kopi Hitam,penjualan,28000
2024-01-03,pemasukan,Penjualan Es Teh,penjualan,5000
2024-01-03,pemasukan,Penjualan Soto Ayam,penjualan,84000
2024-01-03,pemasukan,Penjualan Pecel Lele,penjualan,104000
2024-01-03,pemasukan,Penjualan Es Teh,penjualan,5000
2024-01-03,pemasukan,Penjualan Bakso,penjualan,110000
2024-01-03,pemasukan,Penjualan Jus Alpukat,penjualan,26000
2024-01-03,pemasukan,Penjualan Bakso,penjualan,44000
2024-01-03,pemasukan,Penjualan Nasi Uduk,penjualan,70000
2024-01-03,pemasukan,Penjualan Mie Ayam,penjualan,90000
2024-01-03,pemasukan,Penjualan Pecel Lele,penjualan,104000
2024-01-03,pemasukan,Penjualan Soto Ayam,penjualan,48000
2024-01-03,pemasukan,Penjualan Es Teh,penjualan,40000
2024-01-03,pemasukan,Penjualan Jus Alpukat,penjualan,65000
2024-01-03,pemasukan,Penjualan Soto Ayam,penjualan,96000
2024-01-03,pemasukan,Penjualan Nasi Uduk,penjualan,80000
2024-01-03,pemasukan,Penjualan Bakso,penjualan,22000
2024-01-03,pemasukan,Penjualan Nasi Uduk,penjualan,90000
2024-01-03,pemasukan,Penjualan Soto Ayam,penjualan,60000
2024-01-03,pemasukan,Penjualan Mie Ayam,penjualan,70000
2024-01-03,pemasukan,Penjualan Nasi Goreng,penjualan,36000
2024-01-03,pemasukan,Penjualan Bakso,penjualan,33000
2024-01-03,pemasukan,Penjualan Kopi Hitam,penjualan,28000
2024-01-03,pemasukan,Penjualan Bakso,penjualan,110000
2024-01-03,pemasukan,Penjualan Ayam Bakar,penjualan,60000
2024-01-03,pemasukan,Penjualan Es Teh,penjualan,10000
2024-01-03,pemasukan,Penjualan Nasi Goreng,penjualan,36000
2024-01-03,pemasukan,Penjualan Nasi Uduk,penjualan,30000
